tag,season,group,fixture_id,date,home,away,scenario_home,scenario_away,mult_home,mult_away,nontrivial,result_1x2,gh,ga,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25
Euro,2024,Euro2024#G0,1145528,2024-06-23,Scotland,Hungary,tercero_en_disputa,eliminado,1.0,0.95,1,A,0.0,1.0,0.2695,0.2481,0.4824,1.038,1.62,0.4961,0.2764,0.2776,0.446,1.038,1.539,0.4759
Euro,2024,Euro2024#G0,1145527,2024-06-23,Switzerland,Germany,le_vale_empate,ya_clasificado,0.97,0.92,1,D,1.0,1.0,0.2687,0.2682,0.463,1.046,1.612,0.4961,0.2735,0.2966,0.4298,1.015,1.483,0.4557
Euro,2024,Euro2024#G1,1145529,2024-06-24,Croatia,Italy,debe_ganar,le_vale_empate,1.08,0.97,1,D,1.0,1.0,0.3497,0.3017,0.3486,1.312,1.346,0.4961,0.3659,0.2907,0.3433,1.417,1.306,0.512
Euro,2024,Euro2024#G1,1145530,2024-06-24,Albania,Spain,tercero_en_disputa,ya_clasificado,1.0,0.92,1,A,0.0,1.0,0.0295,0.1082,0.8623,0.05,2.698,0.5182,0.0295,0.1082,0.8623,0.05,2.483,0.4645
Euro,2024,Euro2024#G2,1189852,2024-06-25,France,Poland,le_vale_empate,eliminado,0.97,0.95,1,D,1.0,1.0,0.6094,0.2242,0.1664,1.925,0.733,0.4961,0.5891,0.2491,0.1618,1.867,0.697,0.4725
Euro,2024,Euro2024#G2,1145533,2024-06-25,Netherlands,Austria,le_vale_empate,tercero_en_disputa,0.97,1.0,1,A,2.0,3.0,0.6655,0.1955,0.1389,2.018,0.64,0.4961,0.6439,0.1977,0.1584,1.957,0.64,0.481
Euro,2024,Euro2024#G3,1145531,2024-06-25,England,Slovenia,le_vale_empate,le_vale_empate,0.97,0.97,1,D,0.0,0.0,0.7635,0.15,0.0865,2.231,0.428,0.4961,0.7363,0.1786,0.0851,2.164,0.415,0.4762
Euro,2024,Euro2024#G3,1145532,2024-06-25,Denmark,Serbia,tercero_en_disputa,debe_ganar,1.0,1.08,1,D,0.0,0.0,0.372,0.3087,0.3193,1.423,1.236,0.4961,0.3691,0.2837,0.3473,1.423,1.334,0.5203
Euro,2024,Euro2024#G4,1189853,2024-06-26,Ukraine,Belgium,debe_ganar,le_vale_empate,1.08,0.97,1,D,0.0,0.0,0.1507,0.1868,0.6625,0.613,2.046,0.4961,0.1586,0.195,0.6464,0.662,1.984,0.4931
Euro,2024,Euro2024#G4,1145534,2024-06-26,Slovakia,Romania,tercero_en_disputa,le_vale_empate,1.0,0.97,1,D,1.0,1.0,0.3594,0.3017,0.3389,1.367,1.292,0.4961,0.3603,0.3017,0.338,1.367,1.253,0.4865
