fixture_id,date,season,league_tag,neutral,team,team_id,opp,opp_id,is_home,corners,yellow,red,shots,sot,fouls,possession
1537581,2026-03-31,2024,WCQ_Europe,0,Sweden,5,Poland,24,1,2.0,2.0,,9.0,5.0,15.0,33.0
1537581,2026-03-31,2024,WCQ_Europe,0,Poland,24,Sweden,5,0,9.0,3.0,,15.0,7.0,15.0,67.0
1537579,2026-03-31,2024,WCQ_Europe,0,Czechia,770,Denmark,21,1,7.0,1.0,,9.0,4.0,20.0,23.0
1537579,2026-03-31,2024,WCQ_Europe,0,Denmark,21,Czechia,770,0,4.0,2.0,,22.0,8.0,11.0,77.0
1537578,2026-03-31,2024,WCQ_Europe,0,Bosnia & Herzegovina,1113,Italy,768,1,10.0,3.0,0.0,30.0,11.0,18.0,65.0
1537578,2026-03-31,2024,WCQ_Europe,0,Italy,768,Bosnia & Herzegovina,1113,0,4.0,2.0,1.0,9.0,3.0,9.0,35.0
1528278,2026-03-31,2026,Friendlies,0,Scotland,1108,Ivory Coast,1501,1,7.0,,,14.0,4.0,9.0,48.0
1528278,2026-03-31,2026,Friendlies,0,Ivory Coast,1501,Scotland,1108,0,5.0,,,12.0,3.0,9.0,52.0
1528280,2026-03-31,2026,Friendlies,0,Algeria,1532,Uruguay,7,1,5.0,4.0,,6.0,0.0,12.0,41.0
1528280,2026-03-31,2026,Friendlies,0,Uruguay,7,Algeria,1532,0,6.0,3.0,,11.0,1.0,16.0,59.0
1522230,2026-03-31,2026,Friendlies,0,Morocco,31,Paraguay,2380,1,1.0,3.0,,6.0,4.0,8.0,62.0
1522230,2026-03-31,2026,Friendlies,0,Paraguay,2380,Morocco,31,0,3.0,6.0,,11.0,7.0,11.0,38.0
1528276,2026-03-31,2026,Friendlies,0,South Africa,1531,Panama,11,1,1.0,3.0,,6.0,1.0,11.0,55.0
1528276,2026-03-31,2026,Friendlies,0,Panama,11,South Africa,1531,0,1.0,4.0,,8.0,4.0,13.0,45.0
1514468,2026-03-31,2026,Friendlies,0,Serbia,14,Saudi Arabia,23,1,10.0,0.0,,23.0,10.0,11.0,59.0
1514468,2026-03-31,2026,Friendlies,0,Saudi Arabia,23,Serbia,14,0,1.0,2.0,,3.0,1.0,8.0,41.0
1503006,2026-03-31,2026,Friendlies,0,Norway,1090,Switzerland,15,1,4.0,,,5.0,1.0,5.0,44.0
1503006,2026-03-31,2026,Friendlies,0,Switzerland,15,Norway,1090,0,2.0,,,10.0,1.0,8.0,56.0
1501816,2026-03-30,2026,Friendlies,0,Germany,25,Ghana,1504,1,9.0,1.0,,23.0,6.0,23.0,69.0
1501816,2026-03-30,2026,Friendlies,0,Ghana,1504,Germany,25,0,4.0,3.0,,6.0,1.0,6.0,31.0
1514465,2026-03-29,2026,Friendlies,0,Colombia,8,France,2,1,9.0,1.0,,13.0,5.0,13.0,45.0
1514465,2026-03-29,2026,Friendlies,0,France,2,Colombia,8,0,5.0,3.0,,14.0,5.0,14.0,55.0
1514464,2026-03-29,2026,Friendlies,0,Mexico,16,Portugal,27,1,0.0,1.0,,7.0,1.0,7.0,34.0
1514464,2026-03-29,2026,Friendlies,0,Portugal,27,Mexico,16,0,4.0,1.0,,10.0,2.0,10.0,66.0
1503003,2026-03-28,2026,Friendlies,0,USA,2384,Belgium,1,1,6.0,2.0,,12.0,5.0,12.0,52.0
1503003,2026-03-28,2026,Friendlies,0,Belgium,1,USA,2384,0,6.0,0.0,,21.0,10.0,21.0,48.0
1512760,2026-03-28,2026,Friendlies,0,Canada,5529,Iceland,18,1,8.0,0.0,1.0,15.0,5.0,15.0,56.0
1512760,2026-03-28,2026,Friendlies,0,Iceland,18,Canada,5529,0,1.0,2.0,0.0,4.0,3.0,4.0,44.0
1511777,2026-03-28,2026,Friendlies,0,Scotland,1108,Japan,12,1,3.0,0.0,,8.0,3.0,8.0,45.0
1511777,2026-03-28,2026,Friendlies,0,Japan,12,Scotland,1108,0,8.0,2.0,,18.0,7.0,18.0,55.0
1527861,2026-03-28,2026,Friendlies,0,Senegal,13,Peru,30,1,7.0,1.0,,12.0,6.0,12.0,60.0
1527861,2026-03-28,2026,Friendlies,0,Peru,30,Senegal,13,0,6.0,1.0,,7.0,2.0,7.0,40.0
1527860,2026-03-28,2026,Friendlies,0,South Korea,17,Ivory Coast,1501,1,7.0,,,12.0,2.0,12.0,51.0
1527860,2026-03-28,2026,Friendlies,0,Ivory Coast,1501,South Korea,17,0,5.0,,,13.0,8.0,13.0,49.0
1536911,2026-03-27,2026,Friendlies,0,Argentina,26,Mauritania,1491,1,,,,6.0,4.0,6.0,73.0
1536911,2026-03-27,2026,Friendlies,0,Mauritania,1491,Argentina,26,0,,,,2.0,0.0,2.0,27.0
